date,total_amount
2024-01-01,138
2024-01-02,191
2024-01-03,193
2024-01-04,70
2024-01-05,97
2024-01-06,98
2024-01-07,173
2024-01-08,67
2024-01-09,68
2024-01-10,53
2024-01-11,141
2024-01-12,70
2024-01-13,185
2024-01-14,198
2024-01-15,99
2024-01-16,100
2024-01-17,101
2024-01-18,183
2024-01-19,76
2024-01-20,92
2024-01-21,127
2024-01-22,198
2024-01-23,66
2024-01-24,59
2024-01-25,60
2024-01-26,166
2024-01-27,100
2024-01-28,79
2024-01-29,167
2024-01-30,122
2024-01-31,81
2024-02-01,127
2024-02-02,110
2024-02-03,95
2024-02-04,103
2024-02-05,197
2024-02-06,68
2024-02-07,72
2024-02-08,167
2024-02-09,64
2024-02-10,110
2024-02-11,162
2024-02-12,59
2024-02-13,59
2024-02-14,199
2024-02-15,123
2024-02-16,184
2024-02-17,90
2024-02-18,83
2024-02-19,115
2024-02-20,169
2024-02-21,152
2024-02-22,101
2024-02-23,150
2024-02-24,64
2024-02-25,94
2024-02-26,103
2024-02-27,59
2024-02-28,73
2024-02-29,174
2024-03-01,94
2024-03-02,78
2024-03-03,143
2024-03-04,80
2024-03-05,154
2024-03-06,113
2024-03-07,62
2024-03-08,62
2024-03-09,148
2024-03-10,157
2024-03-11,77
2024-03-12,144
2024-03-13,78
2024-03-14,67
2024-03-15,193
2024-03-16,172
2024-03-17,96
2024-03-18,140
2024-03-19,84
2024-03-20,116
2024-03-21,163
2024-03-22,120
2024-03-23,185
2024-03-24,50
2024-03-25,158
2024-03-26,115
2024-03-27,114
2024-03-28,92
2024-03-29,129
2024-03-30,77
2024-03-31,115
2024-04-01,139
2024-04-02,117
2024-04-03,124
2024-04-04,93
2024-04-05,116
2024-04-06,70
2024-04-07,61
2024-04-08,78
2024-04-09,140
