ds,yhat
2024-01-01,240
2024-01-02,401
2024-01-03,385
2024-01-04,156
2024-01-05,400
2024-01-06,106
2024-01-07,318
2024-01-08,132
2024-01-09,469
2024-01-10,166
2024-01-11,377
2024-01-12,494
2024-01-13,243
2024-01-14,226
2024-01-15,342
2024-01-16,469
2024-01-17,388
2024-01-18,461
2024-01-19,416
2024-01-20,449
2024-01-21,359
2024-01-22,367
2024-01-23,326
2024-01-24,409
2024-01-25,111
2024-01-26,317
2024-01-27,190
2024-01-28,136
2024-01-29,495
2024-01-30,383
2024-01-31,295
2024-02-01,406
2024-02-02,395
2024-02-03,121
2024-02-04,350
2024-02-05,481
2024-02-06,273
2024-02-07,372
2024-02-08,238
2024-02-09,405
2024-02-10,367
2024-02-11,246
2024-02-12,439
2024-02-13,261
2024-02-14,380
2024-02-15,152
2024-02-16,185
2024-02-17,265
2024-02-18,230
2024-02-19,412
2024-02-20,325
2024-02-21,429
2024-02-22,139
2024-02-23,496
2024-02-24,305
2024-02-25,238
2024-02-26,409
2024-02-27,306
2024-02-28,319
2024-02-29,419
